custom_var_v1,idaction_url,idvisit
1727,1303,672
1727,1304,672
1727,1301,672
1727,1302,672
1727,1305,672
1727,1306,672
1727,1838,672
1727,1839,672
1727,1297,672
1727,1298,672
1727,1281,672
1727,1282,672
1727,1735,672
1727,2788,672
1727,2789,672
1727,3210,672
1727,3211,672
1727,3212,672
1727,3213,672
1727,1796,672
1727,1797,672
1727,1798,672
1727,1799,672
1727,1735,672
1727,1530,672
1727,1531,672
1727,1698,672
1727,1699,672
1727,1703,672
1727,1704,672
1727,1735,672
1727,1735,672
1727,2486,672
1727,2298,947
1727,2192,947
1727,2436,947
1727,3498,947
1727,3472,947
1727,3109,947
1728,2421,403
1728,2618,403
1728,1266,403
1728,1267,403
1728,1268,403
1728,1726,403
1728,1727,403
1728,1313,403
1728,1314,403
1729,2421,314
1729,1261,314
1729,2421,314
1729,2615,314
1729,2616,314
1729,2617,314
1729,2618,314
1729,1266,314
1729,1459,314
1729,1460,314
1729,1461,314
1729,1462,314
1729,1728,314
1729,1729,314
1729,1730,314
1729,1732,314
1729,1510,314
1729,1511,314
1729,1989,314
1729,1991,314
1729,1816,314
1729,1817,314
1729,1818,314
1729,1819,314
1729,1307,314
1729,1308,314
1729,1309,314
1729,1310,314
1729,1311,314
1729,1312,314
1729,2041,314
1729,2042,314
1729,1716,314
1729,1717,314
1729,2044,314
1729,2045,314
1729,2047,314
1729,2618,314
1729,2323,314
1729,2324,314
1729,1301,314
1729,1302,314
1729,1302,314
1729,1303,314
1729,1304,314
1729,1316,314
1729,1317,314
1729,2325,314
1729,2326,314
1729,2048,314
1729,2050,314
1729,1618,314
1729,1619,314
1729,2052,314
1729,2054,314
1729,1939,314
1729,1940,314
1729,1707,314
1729,1708,314
1729,2171,314
1729,2172,314
1729,1661,314
1729,1662,314
1729,1665,314
1729,1666,314
1729,1663,314
1729,1664,314
1729,2169,314
1729,2170,314
1729,2055,314
1729,2057,314
1729,2058,314
1729,2060,314
1729,2618,314
1729,2061,314
1729,2063,314
1729,2064,314
1729,2066,314
1729,2067,314
1729,2068,314
1729,2410,314
1729,2411,314
1729,1320,314
1729,1321,314
